LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,INEXPERIENCED_FTE,INEXPERIENCED_FTE_PCT,Full School_ID,FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,County,FAC_SCHTYPE,GRADE_RANGE,SCHOOL_ADDRESS,SCHOOL_CITY,STATE,SCHOOL_ZIP,MAIL_ADDRESS,MAIL_CITY,MAIL_ZIP,PRINCIPAL_FNAME,PRINCIPAL_LNAME,PRINCIPAL_MNAME,EMAIL_ADDRESS,SCHOOL_PHONE,SCHOOL_FAX,MATCH_TYPE
2017-18,Commission Charter Schools- Ivy Preparatory Academy School,IVY PREPARATORY ACADEMY SCHOOL,Leaders,Low Poverty,1.0,1.0,100,7820312,2019,7820312,State Charter Schools - Heritage Preparatory Academy School,312,HERITAGE PREPARATORY ACADEMY SCHOOL,Fulton,,06-08,3350 Greenbriar Pkwy SW,Atlanta,GA,30331-2613,3350 Greenbriar Pkwy SW,Atlanta,30331-2613,,,,,404.999.9999,,FUZZY
2017-18,Commission Charter Schools- Ivy Preparatory Academy School,IVY PREPARATORY ACADEMY SCHOOL,Teachers,Low Poverty,14.0,14.0,100,7820312,2019,7820312,State Charter Schools - Heritage Preparatory Academy School,312,HERITAGE PREPARATORY ACADEMY SCHOOL,Fulton,,06-08,3350 Greenbriar Pkwy SW,Atlanta,GA,30331-2613,3350 Greenbriar Pkwy SW,Atlanta,30331-2613,,,,,404.999.9999,,FUZZY
2017-18,Commission Charter Schools- Ivy Preparatory Academy School,IVY PREPARATORY ACADEMY SCHOOL,Teachers,Total,14.0,14.0,100,7820312,2019,7820312,State Charter Schools - Heritage Preparatory Academy School,312,HERITAGE PREPARATORY ACADEMY SCHOOL,Fulton,,06-08,3350 Greenbriar Pkwy SW,Atlanta,GA,30331-2613,3350 Greenbriar Pkwy SW,Atlanta,30331-2613,,,,,404.999.9999,,FUZZY
2017-18,DeKalb County,DESTINY ACHIEVERS ACADEMY OF EXCELLENCE,Leaders,Not Applicable,2.0,2.0,100,7610403,2019,761,Atlanta Public Schools,403,APS-FORREST HILLS ACADEMY,Fulton,M,06-12,2930 Forrest Hills Dr SW,Atlanta,GA,30315-9027,2930 Forrest Hills Dr SW,Atlanta,30315-9027,Zawadaski,Robinson,,zrobinson@atlanta.k12.ga.us,404.591.7275,404.792.5998,FUZZY
2017-18,DeKalb County,DESTINY ACHIEVERS ACADEMY OF EXCELLENCE,Teachers,Total,17.0,14.0,82,7610403,2019,761,Atlanta Public Schools,403,APS-FORREST HILLS ACADEMY,Fulton,M,06-12,2930 Forrest Hills Dr SW,Atlanta,GA,30315-9027,2930 Forrest Hills Dr SW,Atlanta,30315-9027,Zawadaski,Robinson,,zrobinson@atlanta.k12.ga.us,404.591.7275,404.792.5998,FUZZY
2017-18,DeKalb County,INTERNATIONAL STUDENT CENTER,Leaders,High Poverty,3.0,0.5,17,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,DeKalb County,INTERNATIONAL STUDENT CENTER,Teachers,High Poverty,23.0,5.0,22,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,DeKalb County,INTERNATIONAL STUDENT CENTER,Teachers,Total,23.0,5.0,22,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,ATLANTA YOUTH DETENTION CENTER,Leaders,Unknown,1.0,1.0,100,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,ATLANTA YOUTH DETENTION CENTER,Teachers,Low Poverty,8.0,8.0,100,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,ATLANTA YOUTH DETENTION CENTER,Teachers,Total,8.0,8.0,100,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,AUGUSTA YOUTH DEVELOPMENT CAMPUS,Leaders,Unknown,1.0,1.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,AUGUSTA YOUTH DEVELOPMENT CAMPUS,Teachers,Low Poverty,10.0,10.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,AUGUSTA YOUTH DEVELOPMENT CAMPUS,Teachers,Total,10.0,10.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,EASTMAN YOUTH DEVELOPMENT CAMPUS,Leaders,Unknown,2.0,2.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,EASTMAN YOUTH DEVELOPMENT CAMPUS,Teachers,Low Poverty,17.0,17.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,EASTMAN YOUTH DEVELOPMENT CAMPUS,Teachers,Total,17.0,17.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,MACON YOUTH DEVELOPMENT CAMPUS,Leaders,Unknown,1.0,1.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,MACON YOUTH DEVELOPMENT CAMPUS,Teachers,Low Poverty,5.0,5.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,MACON YOUTH DEVELOPMENT CAMPUS,Teachers,Total,5.0,5.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,MILLEGEVILLE ITU,Leaders,Unknown,0.7,0.7,100,7210116,2019,721,Richmond County,116,LAMAR - MILLEDGE ELEMENTARY SCHOOL,Richmond,E,PK-05,510 Eve St,Augusta,GA,30904-4241,510 Eve St,Augusta,30904-4241,Raye,Robinson,,robinra@boe.richmond.k12.ga.us,706.737.7262,,FUZZY
2017-18,Department of Juvenile Justice,MILLEGEVILLE ITU,Teachers,Low Poverty,3.0,3.0,100,7210116,2019,721,Richmond County,116,LAMAR - MILLEDGE ELEMENTARY SCHOOL,Richmond,E,PK-05,510 Eve St,Augusta,GA,30904-4241,510 Eve St,Augusta,30904-4241,Raye,Robinson,,robinra@boe.richmond.k12.ga.us,706.737.7262,,FUZZY
2017-18,Department of Juvenile Justice,MILLEGEVILLE ITU,Teachers,Total,3.0,3.0,100,7210116,2019,721,Richmond County,116,LAMAR - MILLEDGE ELEMENTARY SCHOOL,Richmond,E,PK-05,510 Eve St,Augusta,GA,30904-4241,510 Eve St,Augusta,30904-4241,Raye,Robinson,,robinra@boe.richmond.k12.ga.us,706.737.7262,,FUZZY
2017-18,Department of Juvenile Justice,MUSCOGEE YOUTH DEVELOPMENT CENTER,Leaders,Unknown,1.0,1.0,100,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,MUSCOGEE YOUTH DEVELOPMENT CENTER,Teachers,Low Poverty,10.0,10.0,100,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,MUSCOGEE YOUTH DEVELOPMENT CENTER,Teachers,Total,10.0,10.0,100,6310378,2019,631,Clayton County,378,PERRY CAREER ACADEMY - EULA WILBURN PONDS PERRY CENTER FOR LEARNING,Clayton,,06-12,137 Spring St,Jonesboro,GA,30236-3558,137 Spring St,Jonesboro,30236-3558,Terry,Young,,,770.515.7601,,FUZZY
2017-18,Department of Juvenile Justice,SUMTER YOUTH DEVELOPMENT CAMPUS,Leaders,Unknown,1.0,1.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,SUMTER YOUTH DEVELOPMENT CAMPUS,Teachers,Low Poverty,12.0,12.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Department of Juvenile Justice,SUMTER YOUTH DEVELOPMENT CAMPUS,Teachers,Total,12.0,12.0,100,6630107,2019,663,Glynn County,107,"MORNINGSTAR TREATMENT SERVICES, INC. YOUTH ESTATE",Glynn,H,KK-12,1 Youth Estate Dr ,Brunswick,GA,31525-7206,"1 Youth Estate Drive, Highway 99 ",Brunswick,31525,Carol,Geiken,,,912.267.3700,,FUZZY
2017-18,Glascock County,GLASCOCK COUNTY CONSOLIDATED SCHOOL,Leaders,Not Applicable,2.2,0.0,0,6120112,2019,612,Bleckley County,112,BLECKLEY MIDDLE SCHOOL,Bleckley,M,06-08,590 Ga Highway 26 E,Cochran,GA,31014-2840,590 Ga Highway 26 E,Cochran,31014-2840,Carla,Thrower,,,478.934.7270,,FUZZY
2017-18,Glascock County,GLASCOCK COUNTY CONSOLIDATED SCHOOL,Teachers,Total,54.3,27.1,50,6120112,2019,612,Bleckley County,112,BLECKLEY MIDDLE SCHOOL,Bleckley,M,06-08,590 Ga Highway 26 E,Cochran,GA,31014-2840,590 Ga Highway 26 E,Cochran,31014-2840,Carla,Thrower,,,478.934.7270,,FUZZY
2017-18,Hall County,LANIER CAREER ACADEMY,Leaders,Not Applicable,1.5,0.0,0,6690105,2019,669,Hall County,105,LANIER COLLEGE AND CAREER ACADEMY,Hall,H,06-12,2723 Tumbling Creek Rd,Gainesville,GA,30504-5863,2723 Tumbling Creek Rd,Gainesville,30504-5863,David,Moody,,,770.531.2330,678.450.5978,FUZZY
2017-18,Hall County,LANIER CAREER ACADEMY,Teachers,Total,252.3,237.4,94,6690105,2019,669,Hall County,105,LANIER COLLEGE AND CAREER ACADEMY,Hall,H,06-12,2723 Tumbling Creek Rd,Gainesville,GA,30504-5863,2723 Tumbling Creek Rd,Gainesville,30504-5863,David,Moody,,,770.531.2330,678.450.5978,FUZZY
2017-18,Jackson County,JACKSON COUNTY HIGH SCHOOL,Leaders,Low Poverty,4.4,1.0,23,6180190,2019,618,Butts County,190,JACKSON HIGH SCHOOL,Butts,H,09-12,717 S Harkness St,Jackson,GA,30233-1869,717 S Harkness St,Jackson,30233-1869,William,Rustin,,rustinw@bcssk12.org,770.504.2340,770.504.2341,FUZZY
2017-18,Jackson County,JACKSON COUNTY HIGH SCHOOL,Teachers,Low Poverty,73.8,42.1,57,6180190,2019,618,Butts County,190,JACKSON HIGH SCHOOL,Butts,H,09-12,717 S Harkness St,Jackson,GA,30233-1869,717 S Harkness St,Jackson,30233-1869,William,Rustin,,rustinw@bcssk12.org,770.504.2340,770.504.2341,FUZZY
2017-18,Jackson County,JACKSON COUNTY HIGH SCHOOL,Teachers,Total,73.8,42.1,57,6180190,2019,618,Butts County,190,JACKSON HIGH SCHOOL,Butts,H,09-12,717 S Harkness St,Jackson,GA,30233-1869,717 S Harkness St,Jackson,30233-1869,William,Rustin,,rustinw@bcssk12.org,770.504.2340,770.504.2341,FUZZY
2017-18,Long County,WALKER ELEMENTARY SCHOOL,Leaders,Not Applicable,2.3,0.0,0,7472052,2019,747,Walton County,2052,WALKER PARK ELEMENTARY SCHOOL,Walton,E,PK-05,333 Carl Davis Rd NW,Monroe,GA,30656-3434,333 Carl Davis Rd NW,Monroe,30656-3434,Brian,Hobbs,,bghobbs@walton.k12.ga.us,770.267.8311,770.207.0767,FUZZY
2017-18,Long County,WALKER ELEMENTARY SCHOOL,Teachers,Total,58.0,43.0,74,7472052,2019,747,Walton County,2052,WALKER PARK ELEMENTARY SCHOOL,Walton,E,PK-05,333 Carl Davis Rd NW,Monroe,GA,30656-3434,333 Carl Davis Rd NW,Monroe,30656-3434,Brian,Hobbs,,bghobbs@walton.k12.ga.us,770.267.8311,770.207.0767,FUZZY
2017-18,Pickens County,JASPER ELEMENTARY SCHOOL,Leaders,Not Applicable,2.0,2.0,100,6310203,2019,631,Clayton County,203,HARPER ELEMENTARY SCHOOL,Clayton,E,PK-05,93 Valley Hill Rd SW,Riverdale,GA,30274-3234,93 Valley Hill Rd SW,Riverdale,30274-3234,Denise,Stevens,G.,denise.stevens@clayton.k12.ga.us,678.479.2654,678.479.2673,FUZZY
2017-18,Pickens County,JASPER ELEMENTARY SCHOOL,Teachers,Total,32.0,5.0,16,6310203,2019,631,Clayton County,203,HARPER ELEMENTARY SCHOOL,Clayton,E,PK-05,93 Valley Hill Rd SW,Riverdale,GA,30274-3234,93 Valley Hill Rd SW,Riverdale,30274-3234,Denise,Stevens,G.,denise.stevens@clayton.k12.ga.us,678.479.2654,678.479.2673,FUZZY
2017-18,Pickens County,PICKENS COUNTY MIDDLE SCHOOL,Leaders,Not Applicable,2.0,1.0,50,7140195,2019,714,Pike County,195,PIKE COUNTY MIDDLE SCHOOL,Pike,M,06-08,406 Hughley Rd,Zebulon,GA,30295-6689,406 Hughley Rd,Zebulon,30295-6689,Michael,Maddox,,,770.567.3353,770.567.5054,FUZZY
2017-18,Pickens County,PICKENS COUNTY MIDDLE SCHOOL,Teachers,Total,33.0,17.5,53,7140195,2019,714,Pike County,195,PIKE COUNTY MIDDLE SCHOOL,Pike,M,06-08,406 Hughley Rd,Zebulon,GA,30295-6689,406 Hughley Rd,Zebulon,30295-6689,Michael,Maddox,,,770.567.3353,770.567.5054,FUZZY
2017-18,State Charter Schools- Dubois Integrity Academy I,DUBOIS INTEGRITY ACADEMY I,Leaders,Low Poverty,1.0,1.0,100,7820617,2019,7820617,State Charter Schools - Dubois Integrity Academy,617,DUBOIS INTEGRITY ACADEMY,Clayton,E,KK-05,6479 Church St,Riverdale,GA,30274-2040,6479 Church St,Riverdale,30274-2040,,,,,770.629.1534,,FUZZY
2017-18,State Charter Schools- Dubois Integrity Academy I,DUBOIS INTEGRITY ACADEMY I,Teachers,Low Poverty,44.0,44.0,100,7820617,2019,7820617,State Charter Schools - Dubois Integrity Academy,617,DUBOIS INTEGRITY ACADEMY,Clayton,E,KK-05,6479 Church St,Riverdale,GA,30274-2040,6479 Church St,Riverdale,30274-2040,,,,,770.629.1534,,FUZZY
2017-18,State Charter Schools- Dubois Integrity Academy I,DUBOIS INTEGRITY ACADEMY I,Teachers,Total,44.0,44.0,100,7820617,2019,7820617,State Charter Schools - Dubois Integrity Academy,617,DUBOIS INTEGRITY ACADEMY,Clayton,E,KK-05,6479 Church St,Riverdale,GA,30274-2040,6479 Church St,Riverdale,30274-2040,,,,,770.629.1534,,FUZZY
2017-18,State Charter Schools- Foothills Charter High School (Madison Campus),FOOTHILLS CHARTER HIGH SCHOOL (MADISON CAMPUS),Leaders,Low Poverty,0.2,0.2,100,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Foothills Charter High School (Madison Campus),FOOTHILLS CHARTER HIGH SCHOOL (MADISON CAMPUS),Teachers,Low Poverty,50.4,50.4,100,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Foothills Charter High School (Madison Campus),FOOTHILLS CHARTER HIGH SCHOOL (MADISON CAMPUS),Teachers,Total,50.4,50.4,100,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School,IVY PREP ACADEMY AT KIRKWOOD FOR GIRLS SCHOOL,Leaders,Not Applicable,2.0,2.0,100,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School,IVY PREP ACADEMY AT KIRKWOOD FOR GIRLS SCHOOL,Teachers,Total,37.5,35.5,95,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Mountain Education Center School,MOUNTAIN EDUCATION CENTER SCHOOL,Leaders,Not Applicable,0.5,0.5,100,6331069,2019,633,Cobb County,1069,WHEELER HIGH SCHOOL,Cobb,H,09-12,375 Holt Rd NE,Marietta,GA,30068-3560,375 Holt Rd NE,Marietta,30068-3560,Peter,Giles,,peter.giles@cobbk12.org,770.578.3266,770.578.3268,FUZZY
2017-18,State Charter Schools- Mountain Education Center School,MOUNTAIN EDUCATION CENTER SCHOOL,Teachers,Total,83.8,46.5,55,6331069,2019,633,Cobb County,1069,WHEELER HIGH SCHOOL,Cobb,H,09-12,375 Holt Rd NE,Marietta,GA,30068-3560,375 Holt Rd NE,Marietta,30068-3560,Peter,Giles,,peter.giles@cobbk12.org,770.578.3266,770.578.3268,FUZZY
2017-18,State Charter Schools- Odyssey School,ODYSSEY SCHOOL,Leaders,Low Poverty,1.0,1.0,100,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Odyssey School,ODYSSEY SCHOOL,Teachers,Low Poverty,32.0,25.0,78,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Odyssey School,ODYSSEY SCHOOL,Teachers,Total,32.0,25.0,78,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,State Charter Schools- Provost Academy Georgia,PROVOST ACADEMY GEORGIA,Leaders,Low Poverty,5.5,4.5,82,7270296,2019,727,Stephens County,296,STEPHENS COUNTY FIFTH GRADE ACADEMY,Stephens,E,05-05,1315 Rose Ln,Toccoa,GA,30577-8766,1315 Rose Ln,Toccoa,30577-8766,Sheila,Pressley,,,706.886.2880,,FUZZY
2017-18,State Charter Schools- Provost Academy Georgia,PROVOST ACADEMY GEORGIA,Teachers,Low Poverty,79.0,78.0,99,7270296,2019,727,Stephens County,296,STEPHENS COUNTY FIFTH GRADE ACADEMY,Stephens,E,05-05,1315 Rose Ln,Toccoa,GA,30577-8766,1315 Rose Ln,Toccoa,30577-8766,Sheila,Pressley,,,706.886.2880,,FUZZY
