LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,INEXPERIENCED_FTE,INEXPERIENCED_FTE_PCT,SCHOOL_ID,MATCHING_NAME,CONFIDENCE
2017-18,Atlanta Public Schools,Boyd Elementary School,Teachers,High Poverty,39.2,24.2,62,7611053,Boyd Elementary School,100
2017-18,Atlanta Public Schools,Boyd Elementary School,Teachers,Total,39.2,24.2,62,7611053,Boyd Elementary School,100
2017-18,Atlanta Public Schools,Brandon Elementary School,Leaders,Low Poverty,3.0,1.0,33,7612053,Brandon Elementary School,100
2017-18,Atlanta Public Schools,Brandon Elementary School,Teachers,Low Poverty,67.0,21.0,31,7612053,Brandon Elementary School,100
2017-18,Atlanta Public Schools,Brandon Elementary School,Teachers,Total,67.0,21.0,31,7612053,Brandon Elementary School,100
2017-18,Atlanta Public Schools,Brown Middle School,Leaders,High Poverty,4.0,0.0,0,7610100,Brown Middle School,100
2017-18,Atlanta Public Schools,Brown Middle School,Teachers,High Poverty,44.1,29.2,66,7610100,Brown Middle School,100
2017-18,Atlanta Public Schools,Brown Middle School,Teachers,Total,44.1,29.2,66,7610100,Brown Middle School,100
2017-18,Atlanta Public Schools,Bunche Middle School,Leaders,High Poverty,4.0,0.0,0,7610180,Bunche Middle School,100
2017-18,Atlanta Public Schools,Bunche Middle School,Teachers,High Poverty,54.1,28.1,52,7610180,Bunche Middle School,100
2017-18,Atlanta Public Schools,Bunche Middle School,Teachers,Total,54.1,28.1,52,7610180,Bunche Middle School,100
2017-18,Atlanta Public Schools,Burgess-Peterson Elementary School,Leaders,High Poverty,2.0,1.0,50,7610305,Burgess-Peterson Elementary School,100
2017-18,Atlanta Public Schools,Burgess-Peterson Elementary School,Teachers,High Poverty,45.8,17.2,37,7610305,Burgess-Peterson Elementary School,100
2017-18,Atlanta Public Schools,Burgess-Peterson Elementary School,Teachers,Total,45.8,17.2,37,7610305,Burgess-Peterson Elementary School,100
2017-18,Atlanta Public Schools,Carver High School,Leaders,High Poverty,4.0,3.0,75,7065052,Carver High School,100
2017-18,Atlanta Public Schools,Carver High School,Teachers,High Poverty,72.7,52.0,71,7065052,Carver High School,100
2017-18,Atlanta Public Schools,Carver High School,Teachers,Total,72.7,52.0,71,7065052,Carver High School,100
2017-18,Atlanta Public Schools,Cascade Elementary School,Leaders,High Poverty,2.0,1.0,50,7610196,Cascade Elementary School,100
2017-18,Atlanta Public Schools,Cascade Elementary School,Teachers,High Poverty,37.7,14.5,38,7610196,Cascade Elementary School,100
2017-18,Atlanta Public Schools,Cascade Elementary School,Teachers,Total,37.7,14.5,38,7610196,Cascade Elementary School,100
2017-18,Atlanta Public Schools,Centennial Academy,Leaders,High Poverty,5.0,3.0,60,7610199,Centennial Academy,100
2017-18,Atlanta Public Schools,Centennial Academy,Teachers,High Poverty,71.0,42.0,59,7610199,Centennial Academy,100
2017-18,Atlanta Public Schools,Centennial Academy,Teachers,Total,71.0,42.0,59,7610199,Centennial Academy,100
2017-18,Atlanta Public Schools,Charles Drew Charter School JA/SA,Leaders,Not Applicable,4.0,1.0,25,7610515,Charles Drew Charter School JA/SA,100
2017-18,Atlanta Public Schools,Charles Drew Charter School JA/SA,Teachers,Total,88.5,64.0,72,7610515,Charles Drew Charter School JA/SA,100
2017-18,Atlanta Public Schools,Charles R. Drew Charter School,Leaders,Low Poverty,3.0,2.0,67,7610201,Charles R. Drew Charter School,100
2017-18,Atlanta Public Schools,Charles R. Drew Charter School,Teachers,Low Poverty,82.0,34.0,41,7610201,Charles R. Drew Charter School,100
2017-18,Atlanta Public Schools,Charles R. Drew Charter School,Teachers,Total,82.0,34.0,41,7610201,Charles R. Drew Charter School,100
2017-18,Atlanta Public Schools,Cleveland Elementary School,Leaders,High Poverty,2.0,1.0,50,6560102,Cleveland Elementary School,100
2017-18,Atlanta Public Schools,Cleveland Elementary School,Teachers,High Poverty,32.8,10.6,32,6560102,Cleveland Elementary School,100
2017-18,Atlanta Public Schools,Cleveland Elementary School,Teachers,Total,32.8,10.6,32,6560102,Cleveland Elementary School,100
2017-18,Atlanta Public Schools,Continental Colony Elementary School,Leaders,High Poverty,2.0,2.0,100,7613057,Continental Colony Elementary School,100
2017-18,Atlanta Public Schools,Continental Colony Elementary School,Teachers,High Poverty,36.4,17.2,47,7613057,Continental Colony Elementary School,100
2017-18,Atlanta Public Schools,Continental Colony Elementary School,Teachers,Total,36.4,17.2,47,7613057,Continental Colony Elementary School,100
2017-18,Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,Leaders,High Poverty,4.0,1.0,25,7611410,Corretta Scott King Womens' Leadership Academy,100
2017-18,Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,Teachers,High Poverty,65.9,38.5,58,7611410,Corretta Scott King Womens' Leadership Academy,100
2017-18,Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,Teachers,Total,65.9,38.5,58,7611410,Corretta Scott King Womens' Leadership Academy,100
2017-18,Atlanta Public Schools,Crim High School,Leaders,High Poverty,3.0,0.0,0,7612664,Crim High School,100
2017-18,Atlanta Public Schools,Crim High School,Teachers,High Poverty,36.8,24.0,65,7612664,Crim High School,100
2017-18,Atlanta Public Schools,Crim High School,Teachers,Total,36.8,24.0,65,7612664,Crim High School,100
2017-18,Atlanta Public Schools,Deerwood Academy School,Leaders,High Poverty,3.0,2.0,67,7610304,Deerwood Academy School,100
2017-18,Atlanta Public Schools,Deerwood Academy School,Teachers,High Poverty,55.5,31.5,57,7610304,Deerwood Academy School,100
2017-18,Atlanta Public Schools,Deerwood Academy School,Teachers,Total,55.5,31.5,57,7610304,Deerwood Academy School,100
2017-18,Atlanta Public Schools,Dobbs Elementary School,Leaders,High Poverty,2.0,0.0,0,7610104,Dobbs Elementary School ,100
2017-18,Atlanta Public Schools,Dobbs Elementary School,Teachers,High Poverty,35.2,7.0,20,7610104,Dobbs Elementary School ,100
2017-18,Atlanta Public Schools,Dobbs Elementary School,Teachers,Total,35.2,7.0,20,7610104,Dobbs Elementary School ,100
2017-18,Atlanta Public Schools,Douglass High School,Leaders,High Poverty,4.5,2.0,44,7614058,Douglass High School,100
2017-18,Atlanta Public Schools,Douglass High School,Teachers,High Poverty,83.8,52.0,62,7614058,Douglass High School,100
2017-18,Atlanta Public Schools,Douglass High School,Teachers,Total,83.8,52.0,62,7614058,Douglass High School,100
2017-18,Atlanta Public Schools,Dunbar Elementary School,Leaders,High Poverty,2.0,1.0,50,7615558,Dunbar Elementary School,100
2017-18,Atlanta Public Schools,Dunbar Elementary School,Teachers,High Poverty,30.5,15.1,50,7615558,Dunbar Elementary School,100
2017-18,Atlanta Public Schools,Dunbar Elementary School,Teachers,Total,30.5,15.1,50,7615558,Dunbar Elementary School,100
2017-18,Atlanta Public Schools,Early College High School at Carver,Leaders,High Poverty,2.9,1.0,34,7610106,Early College High School at Carver,100
2017-18,Atlanta Public Schools,Early College High School at Carver,Teachers,High Poverty,45.4,26.9,59,7610106,Early College High School at Carver,100
2017-18,Atlanta Public Schools,Early College High School at Carver,Teachers,Total,45.4,26.9,59,7610106,Early College High School at Carver,100
2017-18,Atlanta Public Schools,F. L. Stanton Elementary School,Leaders,High Poverty,2.0,0.0,0,7615566,F. L. Stanton Elementary School,100
2017-18,Atlanta Public Schools,F. L. Stanton Elementary School,Teachers,High Poverty,26.5,14.5,55,7615566,F. L. Stanton Elementary School,100
2017-18,Atlanta Public Schools,F. L. Stanton Elementary School,Teachers,Total,26.5,14.5,55,7615566,F. L. Stanton Elementary School,100
2017-18,Atlanta Public Schools,Fain Elementary School,Leaders,High Poverty,2.0,1.0,50,7613059,Fain Elementary School,100
2017-18,Atlanta Public Schools,Fain Elementary School,Teachers,High Poverty,35.8,25.5,71,7613059,Fain Elementary School,100
2017-18,Atlanta Public Schools,Fain Elementary School,Teachers,Total,35.8,25.5,71,7613059,Fain Elementary School,100
2017-18,Atlanta Public Schools,Fickett Elementary School,Leaders,High Poverty,2.0,0.0,0,7613559,Fickett Elementary School,100
2017-18,Atlanta Public Schools,Fickett Elementary School,Teachers,High Poverty,43.1,16.3,38,7613559,Fickett Elementary School,100
2017-18,Atlanta Public Schools,Fickett Elementary School,Teachers,Total,43.1,16.3,38,7613559,Fickett Elementary School,100
2017-18,Atlanta Public Schools,Finch Elementary,Leaders,High Poverty,3.0,2.0,67,7610105,Finch Elementary,100
2017-18,Atlanta Public Schools,Finch Elementary,Teachers,High Poverty,42.4,20.0,47,7610105,Finch Elementary,100
2017-18,Atlanta Public Schools,Finch Elementary,Teachers,Total,42.4,20.0,47,7610105,Finch Elementary,100
2017-18,Atlanta Public Schools,Garden Hills Elementary School,Leaders,Not Applicable,2.0,1.0,50,7611560,Garden Hills Elementary School,100
2017-18,Atlanta Public Schools,Garden Hills Elementary School,Teachers,Total,43.5,12.5,29,7611560,Garden Hills Elementary School,100
2017-18,Atlanta Public Schools,Gideons Elementary School,Leaders,High Poverty,4.0,4.0,100,7612560,Gideons Elementary School,100
2017-18,Atlanta Public Schools,Gideons Elementary School,Teachers,High Poverty,63.0,56.0,89,7612560,Gideons Elementary School,100
2017-18,Atlanta Public Schools,Gideons Elementary School,Teachers,Total,63.0,56.0,89,7612560,Gideons Elementary School,100
2017-18,Atlanta Public Schools,Grady High School,Leaders,Low Poverty,6.0,0.0,0,7614560,Grady High School,100
2017-18,Atlanta Public Schools,Grady High School,Teachers,Low Poverty,128.7,63.5,49,7614560,Grady High School,100
2017-18,Atlanta Public Schools,Grady High School,Teachers,Total,128.7,63.5,49,7614560,Grady High School,100
2017-18,Atlanta Public Schools,Harper-Archer Middle School,Leaders,High Poverty,3.0,0.0,0,7610504,Harper-Archer Middle School,100
2017-18,Atlanta Public Schools,Harper-Archer Middle School,Teachers,High Poverty,40.6,26.0,64,7610504,Harper-Archer Middle School,100
2017-18,Atlanta Public Schools,Harper-Archer Middle School,Teachers,Total,40.6,26.0,64,7610504,Harper-Archer Middle School,100
2017-18,Atlanta Public Schools,Heritage Academy Elementary,Leaders,High Poverty,2.0,1.0,50,7610103,Heritage Academy Elementary,100
2017-18,Atlanta Public Schools,Heritage Academy Elementary,Teachers,High Poverty,42.2,26.0,62,7610103,Heritage Academy Elementary,100
2017-18,Atlanta Public Schools,Heritage Academy Elementary,Teachers,Total,42.2,26.0,62,7610103,Heritage Academy Elementary,100
2017-18,Atlanta Public Schools,Hillside Conant School,Leaders,High Poverty,2.0,0.0,0,7610207,Hillside Conant School,100
2017-18,Atlanta Public Schools,Hillside Conant School,Teachers,High Poverty,17.0,13.0,76,7610207,Hillside Conant School,100
2017-18,Atlanta Public Schools,Hillside Conant School,Teachers,Total,17.0,13.0,76,7610207,Hillside Conant School,100
2017-18,Atlanta Public Schools,Humphries Elementary School,Leaders,High Poverty,2.0,1.0,50,7615562,Humphries Elementary School,100
2017-18,Atlanta Public Schools,Humphries Elementary School,Teachers,High Poverty,27.1,10.0,37,7615562,Humphries Elementary School,100
2017-18,Atlanta Public Schools,Humphries Elementary School,Teachers,Total,27.1,10.0,37,7615562,Humphries Elementary School,100
2017-18,Atlanta Public Schools,Hutchinson Elementary School,Leaders,High Poverty,2.0,0.0,0,7611063,Hutchinson Elementary School,100
2017-18,Atlanta Public Schools,Hutchinson Elementary School,Teachers,High Poverty,41.0,19.0,46,7611063,Hutchinson Elementary School,100
2017-18,Atlanta Public Schools,Hutchinson Elementary School,Teachers,Total,41.0,19.0,46,7611063,Hutchinson Elementary School,100
2017-18,Atlanta Public Schools,Inman Middle School,Leaders,Low Poverty,4.0,2.0,50,7611563,Inman Middle School,100
2017-18,Atlanta Public Schools,Inman Middle School,Teachers,Low Poverty,76.0,35.0,46,7611563,Inman Middle School,100
2017-18,Atlanta Public Schools,Inman Middle School,Teachers,Total,76.0,35.0,46,7611563,Inman Middle School,100
2017-18,Atlanta Public Schools,Jackson Elementary School,Leaders,Low Poverty,2.0,2.0,100,6180111,Jackson Elementary School,100
2017-18,Atlanta Public Schools,Jackson Elementary School,Teachers,Low Poverty,54.8,19.8,36,6180111,Jackson Elementary School,100
2017-18,Atlanta Public Schools,Jackson Elementary School,Teachers,Total,54.8,19.8,36,6180111,Jackson Elementary School,100
2017-18,Atlanta Public Schools,John Lewis Invictus Academy,Leaders,High Poverty,2.0,1.0,50,7611418,John Lewis Invictus Academy,100
2017-18,Atlanta Public Schools,John Lewis Invictus Academy,Teachers,High Poverty,18.9,17.0,90,7611418,John Lewis Invictus Academy,100
2017-18,Atlanta Public Schools,John Lewis Invictus Academy,Teachers,Total,18.9,17.0,90,7611418,John Lewis Invictus Academy,100
2017-18,Atlanta Public Schools,KIPP Atlanta Collegiate,Leaders,High Poverty,5.0,4.0,80,7610212,KIPP Atlanta Collegiate,100
2017-18,Atlanta Public Schools,KIPP Atlanta Collegiate,Teachers,High Poverty,88.0,70.0,80,7610212,KIPP Atlanta Collegiate,100
2017-18,Atlanta Public Schools,KIPP Atlanta Collegiate,Teachers,Total,88.0,70.0,80,7610212,KIPP Atlanta Collegiate,100
2017-18,Atlanta Public Schools,KIPP Strive Primary,Leaders,High Poverty,4.0,3.0,75,7610213,KIPP Strive Primary,100
2017-18,Atlanta Public Schools,KIPP Strive Primary,Teachers,High Poverty,34.0,26.0,76,7610213,KIPP Strive Primary,100
2017-18,Atlanta Public Schools,KIPP Strive Primary,Teachers,Total,34.0,26.0,76,7610213,KIPP Strive Primary,100
2017-18,Atlanta Public Schools,KIPP VISION,Leaders,High Poverty,3.0,3.0,100,7610122,KIPP VISION,100
2017-18,Atlanta Public Schools,KIPP VISION,Teachers,High Poverty,27.0,26.0,96,7610122,KIPP VISION,100
2017-18,Atlanta Public Schools,KIPP VISION,Teachers,Total,27.0,26.0,96,7610122,KIPP VISION,100
2017-18,Atlanta Public Schools,KIPP Vision Primary,Leaders,High Poverty,4.0,3.0,75,7610122,KIPP VISION,100
2017-18,Atlanta Public Schools,KIPP Vision Primary,Teachers,High Poverty,30.3,24.3,80,7610122,KIPP VISION,100
2017-18,Atlanta Public Schools,KIPP Vision Primary,Teachers,Total,30.3,24.3,80,7610122,KIPP VISION,100
2017-18,Atlanta Public Schools,KIPP West Atlanta Young Scholars Academy,Leaders,High Poverty,3.0,2.0,67,7610605,KIPP West Atlanta Young Scholars Academy,100
2017-18,Atlanta Public Schools,KIPP West Atlanta Young Scholars Academy,Teachers,High Poverty,30.0,21.0,70,7610605,KIPP West Atlanta Young Scholars Academy,100
2017-18,Atlanta Public Schools,KIPP West Atlanta Young Scholars Academy,Teachers,Total,30.0,21.0,70,7610605,KIPP West Atlanta Young Scholars Academy,100
2017-18,Atlanta Public Schools,Kimberly Elementary School,Leaders,High Poverty,2.0,1.0,50,7611064,Kimberly Elementary School,100
2017-18,Atlanta Public Schools,Kimberly Elementary School,Teachers,High Poverty,38.0,24.0,63,7611064,Kimberly Elementary School,100
2017-18,Atlanta Public Schools,Kimberly Elementary School,Teachers,Total,38.0,24.0,63,7611064,Kimberly Elementary School,100
2017-18,Atlanta Public Schools,Kindezi,Leaders,High Poverty,4.5,3.5,78,7610123,Kindezi,100
2017-18,Atlanta Public Schools,Kindezi,Teachers,High Poverty,59.0,42.0,71,7610123,Kindezi,100
2017-18,Atlanta Public Schools,Kindezi,Teachers,Total,59.0,42.0,71,7610123,Kindezi,100
2017-18,Atlanta Public Schools,Kindezi Old 4th Ward,Leaders,High Poverty,5.0,5.0,100,7610123,Kindezi,100
2017-18,Atlanta Public Schools,Kindezi Old 4th Ward,Teachers,High Poverty,78.0,74.0,95,7610123,Kindezi,100
2017-18,Atlanta Public Schools,Kindezi Old 4th Ward,Teachers,Total,78.0,74.0,95,7610123,Kindezi,100
2017-18,Atlanta Public Schools,King Middle School,Leaders,High Poverty,4.0,0.0,0,7610373,King Middle School,100
2017-18,Atlanta Public Schools,King Middle School,Teachers,High Poverty,54.2,27.1,50,7610373,King Middle School,100
2017-18,Atlanta Public Schools,King Middle School,Teachers,Total,54.2,27.1,50,7610373,King Middle School,100
2017-18,Atlanta Public Schools,Kipp Strive Academy,Leaders,Not Applicable,3.0,2.0,67,7610115,Kipp Strive Academy,100
2017-18,Atlanta Public Schools,Kipp Strive Academy,Teachers,Total,31.0,21.0,68,7610115,Kipp Strive Academy,100
2017-18,Atlanta Public Schools,Kipp WAYS Primary School,Leaders,High Poverty,4.0,3.0,75,7610215,Kipp WAYS Primary School,100
2017-18,Atlanta Public Schools,Kipp WAYS Primary School,Teachers,High Poverty,36.0,34.0,94,7610215,Kipp WAYS Primary School,100
2017-18,Atlanta Public Schools,Kipp WAYS Primary School,Teachers,Total,36.0,34.0,94,7610215,Kipp WAYS Primary School,100
2017-18,Atlanta Public Schools,Lin Elementary School,Leaders,Low Poverty,2.0,1.0,50,7612564,Lin Elementary School,100
2017-18,Atlanta Public Schools,Lin Elementary School,Teachers,Low Poverty,43.2,10.3,24,7612564,Lin Elementary School,100
2017-18,Atlanta Public Schools,Lin Elementary School,Teachers,Total,43.2,10.3,24,7612564,Lin Elementary School,100
2017-18,Atlanta Public Schools,Long Middle School,Leaders,High Poverty,4.0,2.0,50,7610173,Long Middle School,100
2017-18,Atlanta Public Schools,Long Middle School,Teachers,High Poverty,49.8,18.0,36,7610173,Long Middle School,100
2017-18,Atlanta Public Schools,Long Middle School,Teachers,Total,49.8,18.0,36,7610173,Long Middle School,100
2017-18,Atlanta Public Schools,M. A. Jones Elementary School,Leaders,High Poverty,2.0,0.0,0,7614063,M. A. Jones Elementary School,100
2017-18,Atlanta Public Schools,M. A. Jones Elementary School,Teachers,High Poverty,40.7,16.7,41,7614063,M. A. Jones Elementary School,100
2017-18,Atlanta Public Schools,M. A. Jones Elementary School,Teachers,Total,40.7,16.7,41,7614063,M. A. Jones Elementary School,100
2017-18,Atlanta Public Schools,"Maynard H. Jackson, Jr. High School",Leaders,High Poverty,6.0,1.5,25,7610186,"Maynard H. Jackson, Jr. High School",100
2017-18,Atlanta Public Schools,"Maynard H. Jackson, Jr. High School",Teachers,High Poverty,118.3,73.3,62,7610186,"Maynard H. Jackson, Jr. High School",100
2017-18,Atlanta Public Schools,"Maynard H. Jackson, Jr. High School",Teachers,Total,118.3,73.3,62,7610186,"Maynard H. Jackson, Jr. High School",100
2017-18,Atlanta Public Schools,Mays High School,Leaders,High Poverty,8.0,3.0,38,7610182,Mays High School,100
2017-18,Atlanta Public Schools,Mays High School,Teachers,High Poverty,144.3,82.1,57,7610182,Mays High School,100
2017-18,Atlanta Public Schools,Mays High School,Teachers,Total,144.3,82.1,57,7610182,Mays High School,100
2017-18,Atlanta Public Schools,Michael R. Hollis Innovation Academy,Leaders,High Poverty,2.0,0.0,0,7611414,Michael R. Hollis Innovation Academy,100
